NUM;AREA;LOCUS;BUCKET;CLASS;TYPE;MATERIAL;TECHNIQUE;DECORATION;PRESERVATION;FRAGMENTS;HEIGHT;LENGHT;WIDTH;THICKNESS;DIAMETER;PERF. DIAM.;WEIGHT;DESCRIPTION;
249;B;F.817;323/a;stone vessel;vessel;basalt;hand;;fragmentary;1;6.8+;;;;32;;;"Stone vessel of medium-grained basalt, flat rim, mortar used. Rim: 2.4 cm; wall: 3 cm.";
250;A west;F.641;120/a;glass container;cup;glass;hand;;fragmentary;1;6.1;;;0.6;;;;Glass handle;
251;surface;Inner Town;1002/e;inscription;monumental inscription;basalt;hand;;fragmentary;1;;12.7+;13+;4.3+;;;;Inscription fragment of fine grained basalt.;
252;G;F.1044;524/r;clay figurine;Animal figurine;pottery;hand;;fragmentary;1;3.2+;3;1.8;;;;;Bird head.;
253;surface;Inner Town;1002/b;sculpture;Sculpture;basalt;hand;;fragmentary;1;11+;;7.2+;4.9+;;;;Sculpture fragment of fine grained basalt (tree foliage?);
254;A west;F,601;125/a;stone tool;Sharpener;basalt;hand;;fragmentary;1;10;13,5 +;13 +;;;;;Basalt fragment with signs of sharpenings on one side.;
256;H;F.1100;602/d;metal tool&weapon;nail;iron;hand;;nearly complete;1;;11.6;;0.4;;;;Iron nail with square section and a nearly rectangular head (1.6 x 1.2).;
257;C;F.958;432/a;metal tool&weapon;nail;iron;hand;;complete;1;13.1;;1.8;1.5;;;;Iron nail with square section and round head (1.6 x 1.3);
258;H;F.1100;602/a;metal tool&weapon;blade;iron;hand;;nearly complete;1;;21.5;3.6;0.3;;;;Iron blade.;
259;H;F.1100;602/b;metal tool&weapon;nail;iron;hand;;complete;1;;9.2;;0.3;;;;Iron nail with square section and nearly circular head.;
260;G;W.1036;522/a;coin;coin;bronze;moult;;complete;1;;;;0.5;2.2;;4;Bronze coin, recto and verso illegible.;
261;A west;F.645;123/b;ornament;bracelet;glass;hand;;fragmentary;1;;;;0.8;6;;;Fragment of a twisted glass bracelet, with a circular section.;
262;H;surf.;;clay figurine;clay figurine;clay;hand;applied;fragmentary;1;4,8 +;;4,7 +;3,2;;;;"Head fragment of a human figurine with tiara. 7.5YR8/3; <0.5 mm, <3%.";
263;H;F.1102;603/a;stone vessel;tripod;basalt;hand;;fragmentary;1;10,6 +;;7,4;7 +;;;;Tripof leg of fine grained basalt with square section.;
264;H;F.1100;602/c;stone tool&weapon;pestle;flint;hand;;nearly complete;1;;;;;5.9;;;Spherical stone pestle.;
